name,district,address,lat,lng,returnSlots
앰배서더 호텔 주변,중구,서울특별시 중구 장충동2가 191-65,37.55928802,127.0026856,10
동대입구역 3번 출구,중구,서울특별시 중구 장충동2가 199-4,37.55937576,127.0060272,8
약수역 6번 출구,중구,서울특별시 중구 다산로 122 약수역 3호선,37.55432129,127.010704,8
남산타운아파트 버스정류장,중구,서울특별시 중구 다산로 32 남산타운,37.54758453,127.0064392,12
서울역5번출구,중구,서울특별시 중구 세종대로 2 서울역 1호선,37.55677032,126.9731979,10
삼성사이버빌리지아파트,중구,서울특별시 중구 중림로 10 중림동 삼성 사이버 빌리지,37.55891418,126.964859,7
시청역 10번출구,중구,서울특별시 중구 서소문로 103,37.56284332,126.9726181,10
서울역 7번출구,중구,서울특별시 중구 남대문로5가 84-11,37.55664444,126.9736404,10
중부경찰서앞사거리 건너편,중구,서울특별시 중구 초동 107-12,37.56474304,126.9909515,10
국제빌딩,중구,서울특별시 중구 남대문로 109,37.56693268,126.9825821,10
동대문디자인플라자,중구,서울특별시 중구 을지로6가 18-169,37.5683136,127.0094605,20
서소문성지역사박물관,중구,서울특별시 중구 중림동 373,37.56024551,126.9687805,23
서울도시건축전시관,중구,서울특별시 중구 태평로1가 60-20,37.5670166,126.9768372,12
중앙일보,중구,서울특별시 중구 서소문동58-6,37.56253433,126.972496,10
을지로입구역 8번출구,중구,서울특별시 중구 을지로1가 140-1,37.56590271,126.981781,9
을지로지하쇼핑센터,중구,서울특별시 중구 을지로 66 하나금융그룹 명동사옥,37.56589127,126.9844513,10
서울지방고용노동청 앞,중구,서울특별시 중구 삼일대로 363 장교빌딩,37.56760406,126.9872589,10
신세계면세점,중구,서울특별시 중구 충무로1가 54-2,37.56027603,126.9813919,10
약수동 주민센터,중구,서울특별시 중구 다산로96,37.55281448,127.0091934,8
브라운스위트레지던스,중구,서울특별시 중구 중립동 340-1,37.56147003,126.9680176,10
서소문역사공원,중구,서울특별시 중구 의주로2가 16-6,37.56157303,126.9684906,10
중부경찰서앞 사거리,중구,서울특별시 중구 저동2가 22-1,37.56459045,126.9907684,10
롯데시티호텔,중구,서울특별시 중구 장교동 74,37.56691742,126.9878311,8
명동역9번 출구,중구,서울특별시 중구 퇴계로 135-14 구두수선대124,37.56122589,126.9874954,10
퇴계로4가 교차로(중구청),중구,서울특별시 중구 퇴계로 235 남산 센트럴 자이,37.5625267,126.9983139,10
동대문역사문화공원역 5번출구,중구,서울특별시 중구 광희동 1가 202-5,37.56430817,127.0064774,10
서울역 서부교차로(3),중구,서울특별시 중구 중구 한강대로 405,37.55540848,126.9694214,8
부산은행,중구,서울특별시 중구 무교로 6,37.5664711,126.9792557,10
KG타워 앞,중구,서울특별시 중구 통일로 92 케이지타워,37.56339645,126.9689407,13
황학동롯데캐슬,중구,서울특별시 중구 중구 청계천로 400,37.57162094,127.0220413,10
필동 삼거리,중구,서울특별시 중구 서애로 33 티엔에스빌딩,37.55969238,126.9964829,5
충정로역 2호선(엘리베이터 앞),중구,서울특별시 중구 서소문로 18 에이원빌딩,37.55937576,126.9641419,5
중부세무서 앞,중구,서울특별시 중구 남학동 12-1,37.56092453,126.9906616,5
청구e편한세상아파트 113동 앞,중구,신당동 44-40,37.56104279,127.0182114,5
한국경제,중구,중구 청파로 463,37.56062698,126.9676819,8
목월공원 앞,용산구,서울특별시 용산구 원효로4가 109-10 목월공원 앞,37.53243256,126.9547424,15
한강진역 2번 출구 앞,용산구,서울특별시 용산구 한남동 726-494 한강진역 2번 출구 앞,37.54115295,127.0022125,9
문배어린이공원 앞,용산구,서울특별시 용산구 문배동 34-10 문배어린이공원 앞,37.53675842,126.9700012,9
전자랜드 본관 앞,용산구,서울특별시 용산구 한강로3가 16-8 전자랜드 본관 앞,37.5330658,126.9607315,20
서울역 12번 출구 앞,용산구,서울특별시 용산구 동자동 14-229 서울역 12번 출구 앞,37.55227661,126.9726868,10
서빙고동 금호맨션 앞,용산구,서울특별시 용산구 서빙고동 235-5 서빙고동 금호맨션 앞,37.520504,126.9897385,10
한남 유수지 복개주차장,용산구,서울특별시 용산구 독서당로 18 한남 유수지 복개주차장,37.53016663,127.0074387,10
이태원지하보도,용산구,서울특별시 용산구 용산동2가 5-1812 이태원지하보도,37.53841019,126.9866486,10
녹사평역1번출구,용산구,서울특별시 용산구 용산동2가 6-7 녹사평역1번출구,37.53507996,126.9853821,20
삼각지역 3번출구,용산구,서울특별시 용산구 한강로1가 228-1 삼각지역 3번출구,37.53351212,126.9722748,20
LIG강촌아파트 103동앞,용산구,서울특별시 용산구 이촌동301-5 LIG강촌아파트 103동앞,37.51850891,126.9787979,30
신용산역 6번출구 앞,용산구,서울특별시 용산구 한강대로 115 신용산역 6번출구 앞,37.53014755,126.968483,25
삼각지역 4번출구 앞,용산구,서울특별시 용산구 한강대로 161 삼각지역 4번출구 앞,37.53345108,126.9717331,9
